"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1735537190083","60.4868270332188","73.5777153558052","73.1815261044177","96.2337472607743","261.677130044843","251.810023310023","240.482207323363","224.432286995516","222.917089678511","273.065587044534","250.743617797228","161.106004696411","196.354409857328","272.544938392357","252.839903165503","178.658484494689","217.649550692","311.508971303572","368.81085286989","382.179374341623","385.86198392732","403.338053304628","172.331880060114","67.6150101356144","420.682041133745","131.347086007225","60.7071565362121","57.6526922278532","53.3260024692643","47.6599820960034","40.712332588076","43.5262440807793","39.3721785709585","37.1252358306038","38.1221339534127","44.5452797356161","",
"Africa Eastern and Southern","AFE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","41.652233694716","40.1521898138277","38.9092510599772","39.8144086925768","42.8183395298597","42.2238687671127","39.6743216120851","39.1411548669745","38.0026516898119","37.1808777647652","37.3996023228014","38.2963177092712","35.4958035264556","36.0728170409663","41.381627991316","40.2468794215426","38.2228884686613","37.6116258053829","39.5263288158255","42.4986135168524","49.6476348992124","44.6613836728352","40.1745864820731","35.7506344060082","37.3969394575497","39.6786193874381","38.5436710411284","37.2574664334772","37.2649517307215","36.1093524554145","32.3069785895698","28.9966691062651","34.2763498095362","34.6076975887912","37.3199556916851","38.9607792191217","41.5277322301642","41.5566151663798","39.7509231323762","39.6385676348309","40.3249628234943","43.4180006773844","44.3805094547821","42.1384590658166","43.5988720516522","45.4590210198033","48.3582004024505","51.0356891337629","58.2856394006871","46.0336396183487","48.0417576380891","52.5787812396491","52.8009423832927","53.306041512927","51.1598204022146","46.4173769990929","42.810674202177","41.6392191863639","47.179124170232","44.6699508783541","42.0037013234286","48.3049008632098","50.9175748805188","",
"Afghanistan","AFG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","25.4752050325286","27.6923073559639","31.8292676457466","25.9615356964045","23.4999986944445","19.370861483049","13.9285717602041","11.474103006619","13.543688991658","14.7634065907711","11.4358472703868","13.161423148605","17.9247919850871","18.1730776453403","21.9432995572431","23.9577469962706","21.599999906087","21.4672680092128","21.6969689810428","24.3108298247178","41.4913453439416","45.4181180712708","","","","","","","","","","","","","","","","","","","","","66.7067219704619","49.6577392927607","47.503331331458","46.0242132715147","45.3257248618723","35.6590132745165","35.2151095660872","30.1139983212516","34.950595084096","38.7023978067851","47.7110694646599","45.0154489289297","40.4885979973986","43.346419367024","39.3562305436015","41.5283443735892","45.8754656806783","40.644818173807","36.6557727164607","46.1570831188677","46.5723784731826","",
"Africa Western and Central","AFW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","31.1838430566305","31.2521911450683","28.44375682266","28.9721569129991","30.2105429749738","30.6257047450258","28.4995205586397","30.5124023426863","30.6920794341692","31.2405912762481","27.2262086348006","36.6024060630524","33.4826752460248","37.5714660525504","48.9663860163132","47.6606062686405","49.4822019048771","58.4552687575751","55.5946072728694","53.1542282600264","59.8172588697954","28.6858549204488","25.9351447370405","30.1784351797949","34.5703773100051","34.9622691820408","27.8809243658122","29.8182756798812","29.9255754066136","36.4906824956301","36.5115505258879","35.1522859239825","37.3840047778519","33.3928979590256","30.413473461221","24.8522247577317","21.5288810538136","21.1640117956121","17.5237838139021","41.0946654429922","45.5917601692358","44.5172853443885","36.8030637600834","39.7955494128019","44.0186984693183","46.3816734810175","42.9189223934384","43.65466063456","46.9999787582408","39.7429630331379","42.8578013158592","49.6615195068781","45.643211254636","39.1908849963502","37.9020797770841","31.2614722050251","29.9461824233285","32.2821210404307","34.4715452950051","33.1049493176609","28.4022450910331","33.5282006779339","37.7944235144587","",
"Angola","AGO","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","54.1112263590611","63.3437376870661","45.2841103703728","48.4638111441084","53.6089791822483","48.2363628899665","34.1680153550517","42.9086433769363","44.3071052361204","42.6433487590289","48.841805565961","45.7351571428571","69.1275842105263","85.8712755102041","100.758822592538","92.2590960553569","109.174068903629","99.069592680152","86.4074766000469","134.342654338256","120.060092714068","108.694201637206","79.0810039641651","84.1421912832814","81.9758517373706","87.8041895141046","77.5853468323958","88.9538660444567","95.8857919429589","90.3008556504786","80.2654205119017","78.3059286062146","74.0397044844372","71.4664024286199","64.5378126191208","59.5316363091771","77.004842035123","66.5977700399672","71.1837760735978","69.6691387314108","64.8906946536231","68.9435536888902","64.6902112931812","",
"Albania","ALB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0806269877495","30.7133758527178","30.0706845948746","46.3822302501318","93.6865118387259","58.5498138229765","39.5544622709823","38.2820735054822","35.7852667237909","34.757367410752","40.6132914813121","46.4179181864498","38.8466090315424","41.6613464572659","42.4096379653199","41.2011323549808","40.5584891060332","40.7099919558597","43.2775128131678","49.35693230854","51.2523805107174","46.8607080535974","49.8871183806654","56.8624334081179","55.5689296743499","56.816471890585","57.8387865018759","54.6156162573982","55.4075480872732","58.0887791110552","58.0281997335323","55.9219402221345","53.2621616304911","62.892607819511","67.1798767284327","",
"Andorra","AND","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4632709760465","49.60782275672","50.0930073064665","53.1971554658554","54.0016759440349","","","","","",
"Arab World","ARB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","49.6476330876185","46.4620293238402","37.2288008534188","43.3041621086756","41.1054603689311","38.2770747544142","39.3590100473982","36.6702975909764","41.2922429285155","41.6295788979049","40.9998201488632","44.0113336184407","44.637907961096","51.3851880416024","72.7516603684825","68.5116668713183","66.3915116343725","67.5418379131612","65.1347870528073","68.0073998275866","73.0854840090769","74.4675942764933","67.7424467977228","58.3641254324322","53.815377913978","48.6828050109187","40.0697940424257","40.4024662994086","46.7833606455602","48.6514105574069","37.6153711049555","48.2053518202438","52.5680418503557","49.6714671890049","47.9010693799077","50.9584794009233","53.8293044497938","51.8450572799994","46.8072262679324","46.798383647092","52.534409231145","51.3393101873632","53.181163324508","57.679882148244","64.8398342113178","69.136331050808","69.2100711114","73.063471656787","78.042165534243","67.4206094849111","67.9008228590251","78.32926748781","81.0368474567107","80.3658665154375","75.1263168949746","68.0128550193515","62.452102291502","65.2334513859431","70.1071289297297","69.9020214554758","63.0405529886687","73.6097141191754","79.7221092595169","",
"United Arab Emirates","ARE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","67.5713852742956","66.9957509236218","59.0669540182526","60.9738549852783","66.0290294913007","70.4508985139633","64.9174480820307","60.5284308684678","58.8599156118143","56.0563185363279","57.4554254776728","50.2657170142929","53.8849778017354","56.6826129400457","66.5766374541776","68.524675889859","74.0647837757863","77.7408624291856","83.8001929480901","82.9237367311411","79.3110617580642","92.2874285396919","94.534420803129","87.7774464402657","80.7562531035773","81.3169797927339","82.9596737846984","86.3397191916687","95.868509422724","110.319428147766","111.805907964327","110.592393496322","127.465077750457","139.326582257953","142.743746883399","133.429249469752","147.42814098606","160.228750968183","161.110231554408","149.493595034815","152.290401702771","152.091780428757","146.3025391286","148.14491072283","162.175040378286","166.610288762531","186.109939490158","188.005273426598","",
"Argentina","ARG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","11.2704356562243","11.2329944874324","13.8096135721018","10.898769042778","11.169460361816","11.3899218454557","17.9852036198854","11.6227035712622","10.6752064512818","11.848556815874","12.6306426385834","14.44453076445","15.9240093515624","17.4804496421547","19.4018281835286","19.3495027985613","17.2264683993891","18.1190431160743","17.4408510709564","35.4467669076716","34.0160118326352","34.629974908102","34.7393625713073","34.7002711144739","34.9475958389525","35.258516452524","28.36776900922","29.5023394337096","29.8722198953467","27.0990432264413","27.2460417167365","25.4864119079835","19.6703052646326","20.4045569707469","19.5114139324649","24.2488903055263","25.5139709712499","25.208138080704","28.9238073441564","26.9304404093321","",
