"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","14.4393912962956","17.1557664410058","17.3632790930077","16.5627367701504","16.4842575699599","15.8309437037216","16.1764548292232","15.4734420283602","15.7359830693445","16.1209144348967","16.4586755151535","16.8959474633294","17.3050292766937","17.9468320109013","18.402556188374","19.1197958221399","20.7299506037379","21.8162145054057","22.1214128239602","22.7213703034657","23.8085625731369","24.1743067306933","24.3414161366729","24.6791888612834","24.9918339447004","25.8304355145863","26.1441457474299","26.1784970672047","26.2022714003991","26.2060570157536","26.2466561760577","27.4209733686034","28.2623350097187","28.3896207536466","28.5778757115563","28.886689247008","30.2397639179985","30.9468717841225","31.8225783876755","32.2137298382397","31.3079381873233","31.0187387357172","32.047275580905","",
"Bulgaria","BGR","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","28.2617967508045","27.6439715292257","27.4807844759246","26.7452858666559","25.6124707539097","26.4234414164005","26.9897570866668","26.8736672387788","26.757004154377","26.0945142903343","21.2640943279005","18.1540162122329","16.2236055776892","12.9548343927735","13.7608447488584","16.668561085604","4.45220902740978","9.68098696341184","14.5937583309593","16.2553703767002","16.7311718307776","19.2659183195055","18.9772598388809","19.8051384534451","20.9507166728271","25.6651645226304","27.4377450593783","28.2888035887462","32.9796200804236","27.7810139493655","22.1822267262167","20.8392514705093","21.1224402920965","21.1825324278602","21.060857904973","20.8597788137386","18.4104638518114","18.3038127443279","18.7631660138869","18.6167809906919","19.0726653563492","16.3475351173764","17.0594855426565","",
"Bahrain","BHR","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","30.8177014074778","29.1816857120945","32.9661438576014","41.0210837368271","44.0585699693565","33.7630179884932","32.2471029014551","22.5262680356177","19.3305078658142","19.8113856956013","18.9260563380282","19.7902863398053","21.6188983430363","23.2291719940674","19.943631415705","17.3274537295378","12.3828624148046","11.975871822734","14.0295041073502","13.577024044066","16.3884201722595","16.973674464082","23.1118109537697","23.5722707984621","22.5138842259822","25.6865148628303","29.4994531309511","33.5512723854657","34.5226692044314","25.2599199746776","26.0455162755386","21.0666358595194","26.837309955076","24.7637075760696","25.6002574523371","24.0720374405569","25.764107472144","28.3494550214648","29.4616673634195","27.7926100258548","28.8954300011238","24.6123902863015","","",
"Bahamas, The","BHS","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","11.4025245441795","10.3195579048534","11.8705025556674","15.9439826256272","16.7472835611637","18.9254260913641","17.9305170821791","15.9962765175641","17.572284981785","17.1971688574317","18.7214450523745","","28.6708033964729","25.6276058117498","25.411422106224","26.1305886137022","21.3331177231565","24.1776618594661","25.4386118401866","27.6855084510945","28.1174791073154","31.1610046215401","27.6761579776857","27.9961418788159","25.4020579886821","22.8979097325124","23.0426072339739","22.0158603424076","26.1442426953498","32.3440458334358","29.3802986154145","28.2861485844575","26.774300838713","26.6933841533475","28.3661603999821","30.3095033767397","28.5662065316724","30.7905383241608","23.9195058640098","25.0553153827824","26.7931611376341","25.2971486375419","25.3624020767764","23.341807967523","22.9232450813699","20.3831780048692","",
"Bosnia and Herzegovina","BIH","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.26847306137","34.0352672822349","34.216556884342","32.566671673001","23.8967623642248","30.5278939973792","28.4130674283579","28.3158652140849","27.1544287801078","26.2934767916098","28.6636935754666","22.7307766579834","26.8043267754039","28.7700418274311","23.7063316890471","20.759890558597","21.9769289026201","21.8665120566601","21.0236645065711","22.8936206008283","20.8749598758171","20.4700634608735","21.6524032671789","22.4203690614838","22.7166806963355","22.1116678201234","21.3959941972638","","",
"Belarus","BLR","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9399538106236","22.2222222222222","25","33.9086294416244","33.2602708930478","24.6979069709974","21.0791340655445","25.2310334487365","25.9346503152411","26.3269712735752","25.2015480960827","22.6690424615098","21.9847426955846","23.748249682755","25.3173520457355","26.5166266823018","29.6607667755813","31.3763246755786","33.3037472609769","35.5374326225462","38.8270843770422","37.685885856564","33.4161102099333","37.1868460544649","33.2245374104916","28.6542097653209","25.4399730381573","26.1584143435337","26.2271092217135","27.0344090490752","25.3651792333741","22.5713623437491","19.4211334873076","",
"Belize","BLZ","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","21.543161582943","23.5669445570277","21.4376708382446","17.9919238950552","19.3392259660967","16.5423313292208","16.599795618096","20.4339143948098","24.4069324693587","26.0371747298624","22.1492819006683","24.3352124336027","23.1221388564188","25.1148912849202","18.4027562899831","19.5610723925213","18.2240472437106","17.7763427899353","16.5808450333366","21.4464956341983","24.9355552240037","22.2641382036562","20.1598984991244","17.0562556536508","15.8802678125911","16.6552791369879","16.8641195943029","17.69951797701","22.1730920524306","16.6492056883376","13.6893006375548","13.9747935097921","13.0497695995263","14.5941603813929","16.5669634490652","16.3182243358812","18.0003413984132","15.406115280785","16.5695234169756","16.7728030072968","17.2208727096108","20.0452464976933","20.7962929938463","",
"Bermuda","BMU","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0430267361979","12.5825420569453","11.0144291764369","10.8931113391845","12.0945969964397","11.8925858297364","12.8032086210967","13.763644733725","13.4097576009445","14.7485170334877","12.2382896720514","13.2688853967898","12.5258415054333","",
"Bolivia","BOL","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","14.8319814600232","14.9892440073755","15.6877990430622","17.8814498258943","15.5855898729358","18.8183216260027","19.5456125267529","19.2223719050495","21.7933033695912","19.3104977275247","16.9194907991471","16.1734721705787","14.9870145983598","12.5296821328752","15.1768967035952","14.4635966128873","13.3815868163516","12.0855256674538","12.701208571044","11.9913173799544","12.5584891866397","14.4840237141834","16.3155701874525","16.6643833188834","14.8514771414085","15.5335271476926","16.1763687426656","18.9689513481554","23.1532159881584","19.0973226968185","17.8874789626329","13.9267732202243","15.6496469618393","12.6639226700099","11.6871210206907","12.990846906531","14.296679671822","16.1395936873294","17.2487171462335","16.4792607960079","16.5722453451651","18.9656256308952","18.3628772434261","19.0600818282013","20.9820496161581","21.371059614022","20.6704841876063","21.2683553463249","20.1660892516785","18.9752599553605","15.5721386707426","16.6303111705085","16.8420540947493","",
"Brazil","BRA","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","18.8338225143308","19.9082549365888","20.3317665589927","20.3684099638676","21.8454042404132","23.328885294818","22.4180560151833","21.3455066997961","22.2651249693608","23.3607423834262","22.6737812755144","23.4303993145604","22.2552389722697","19.4347970230088","18.7409087149633","17.9178544928284","19.9608396615159","23.1736258501997","24.3436482411539","26.9027870382664","20.6635844088097","18.1090137013569","18.4232590300656","19.2831161146442","20.748084535259","20.2862976209414","18.6406537838098","19.1229011258392","18.5423485026572","17.0162942226036","18.30448803112","18.4180865009209","17.9262508238054","16.6047591535688","17.3202333242533","17.0561834621085","17.2102995707246","17.9957613397441","19.3853295545427","19.1019580422444","20.5346736451538","20.6089642037647","20.7167127811147","20.9119218796392","19.8730289016021","17.8358070425117","15.5243273266289","14.5589865186724","15.0969119596536","15.4711697478364","16.5610215586975","18.8961888436402","18.822555415021","",
